2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,84,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,66,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
